,frame,pos_x,pos_y,id
0,1.0,627,196,A
1,1.0,1054,424,B
2,1.0,507,706,C
3,1.0,1275,707,D
4,1.0,1378,735,E
5,1.0,1134,906,F
6,1.0,736,963,G
7,1.0,922,976,H
8,2.0,627,197,A
9,2.0,1054,424,B
10,2.0,506,705,C
11,2.0,1274,716,D
12,2.0,1378,736,E
13,2.0,1117,906,F
14,2.0,735,961,G
15,2.0,934,974,H
16,3.0,627,196,A
17,3.0,1054,424,B
18,3.0,506,705,C
19,3.0,1273,731,D
20,3.0,1378,737,E
21,3.0,1095,911,F
22,3.0,732,959,G
23,3.0,948,973,H
24,4.0,627,196,A
25,4.0,1054,424,B
26,4.0,507,705,C
27,4.0,1271,744,D
28,4.0,1378,738,E
29,4.0,1079,923,F
30,4.0,728,956,G
31,4.0,969,975,H
32,5.0,627,197,A
33,5.0,1055,424,B
34,5.0,507,706,C
35,5.0,1269,762,D
36,5.0,1378,739,E
37,5.0,1064,930,F
38,5.0,725,955,G
39,5.0,980,971,H
40,6.0,623,194,A
41,6.0,1055,428,B
42,6.0,508,710,C
43,6.0,1272,795,D
44,6.0,1379,739,E
45,6.0,1060,934,F
46,6.0,718,960,G
47,6.0,997,973,H
48,7.0,624,195,A
49,7.0,1055,427,B
50,7.0,507,711,C
51,7.0,1267,806,D
52,7.0,1380,735,E
53,7.0,1055,946,F
54,7.0,719,953,G
55,7.0,995,974,H
56,8.0,627,196,A
57,8.0,1054,424,B
58,8.0,507,705,C
59,8.0,1256,820,D
60,8.0,1378,741,E
61,8.0,1062,944,F
62,8.0,721,944,G
63,8.0,987,973,H
64,9.0,627,197,A
65,9.0,1055,424,B
66,9.0,507,705,C
67,9.0,1251,848,D
68,9.0,1377,742,E
69,9.0,1062,948,F
70,9.0,723,942,G
71,9.0,987,974,H
72,10.0,627,197,A
73,10.0,1055,424,B
74,10.0,506,705,C
75,10.0,1240,857,D
76,10.0,1376,743,E
77,10.0,1064,954,F
78,10.0,725,939,G
79,10.0,987,974,H
80,11.0,627,197,A
81,11.0,1054,424,B
82,11.0,506,705,C
83,11.0,1224,866,D
84,11.0,1376,743,E
85,11.0,1068,958,F
86,11.0,731,937,G
87,11.0,985,973,H
88,12.0,627,197,A
89,12.0,1054,424,B
90,12.0,506,705,C
91,12.0,1215,873,D
92,12.0,1376,743,E
93,12.0,1067,961,F
94,12.0,737,934,G
95,12.0,985,973,H
96,13.0,627,197,A
97,13.0,1055,424,B
98,13.0,506,705,C
99,13.0,1196,873,D
100,13.0,1376,744,E
101,13.0,1071,968,F
102,13.0,739,929,G
103,13.0,986,974,H
104,14.0,627,197,A
105,14.0,1055,424,B
106,14.0,507,705,C
107,14.0,1181,871,D
108,14.0,1375,744,E
109,14.0,1075,972,F
110,14.0,746,927,G
111,14.0,988,974,H
112,15.0,627,197,A
113,15.0,1054,424,B
114,15.0,506,705,C
115,15.0,1173,862,D
116,15.0,1376,744,E
117,15.0,1074,976,F
118,15.0,755,927,G
119,15.0,989,974,H
120,16.0,627,197,A
121,16.0,1054,424,B
122,16.0,506,705,C
123,16.0,1169,857,D
124,16.0,1376,745,E
125,16.0,1075,978,F
126,16.0,764,929,G
127,16.0,989,973,H
128,17.0,627,197,A
129,17.0,1055,424,B
130,17.0,506,705,C
131,17.0,1155,856,D
132,17.0,1375,745,E
133,17.0,1074,979,F
134,17.0,778,929,G
135,17.0,990,972,H
136,18.0,627,197,A
137,18.0,1055,424,B
138,18.0,506,705,C
139,18.0,1147,856,D
140,18.0,1375,745,E
141,18.0,1070,977,F
142,18.0,791,931,G
143,18.0,991,970,H
144,19.0,626,197,A
145,19.0,1054,424,B
146,19.0,506,705,C
147,19.0,1140,864,D
148,19.0,1375,745,E
149,19.0,1067,977,F
150,19.0,800,937,G
151,19.0,991,967,H
152,20.0,626,197,A
153,20.0,1054,424,B
154,20.0,506,705,C
155,20.0,1126,874,D
156,20.0,1375,746,E
157,20.0,1065,973,F
158,20.0,808,944,G
159,20.0,991,965,H
160,21.0,626,197,A
161,21.0,1054,424,B
162,21.0,506,705,C
163,21.0,1113,886,D
164,21.0,1375,746,E
165,21.0,1062,972,F
166,21.0,823,946,G
167,21.0,990,962,H
168,22.0,626,196,A
169,22.0,1054,424,B
170,22.0,506,707,C
171,22.0,1105,903,D
172,22.0,1375,747,E
173,22.0,1059,974,F
174,22.0,834,949,G
175,22.0,989,958,H
176,23.0,625,196,A
177,23.0,1054,424,B
178,23.0,506,706,C
179,23.0,1091,909,D
180,23.0,1375,746,E
181,23.0,1057,972,F
182,23.0,848,955,G
