X1	Y1	ProbId1	
1512	353.09	NaN
1513	351.05	NaN
1512	353.01	NaN
1511	354.59	NaN
1509	357.75	NaN
1508.8	358.06	NaN
1508.9	357.57	NaN
1505.3	363.88	NaN
1508.5	358.6	NaN
1505.3	363.91	NaN
1507.3	360.67	NaN
1508.6	358.48	NaN
1511.6	353.7	NaN
1513	351.27	NaN
1511.5	354.18	NaN
1511	354.96	NaN
1509.9	356.71	NaN
1510.4	355.75	NaN
1509.1	357.62	NaN
1506.7	361.42	NaN
1508.4	358.96	NaN
1507.4	360.54	NaN
1508.8	358.32	NaN
1508.2	359.24	NaN
1511.6	353.89	NaN
1511.5	354.06	NaN
1511	354.83	NaN
1511.6	353.85	NaN
1508.4	358.63	NaN
1507.9	359.37	NaN
1507.9	359.1	NaN
1505.7	362.7	NaN
1506.2	362	NaN
1509.3	357.39	NaN
1507.3	360.51	NaN
1508.2	359.28	NaN
1510.1	356.02	NaN
1511.8	353.41	NaN
1511.7	353.73	NaN
1511	355.41	NaN
1510.8	356.51	NaN
1513.5	353	NaN
1511.7	356.7	NaN
1508.7	361.19	NaN
1512.4	356.5	NaN
1513.5	355.78	NaN
1514.9	355.26	NaN
1509.8	359.31	NaN
1507.8	359.19	NaN
1502.4	362.77	NaN
1489.5	366.38	NaN
1484.9	366.77	NaN
1484.2	366.06	NaN
1484.1	366.53	NaN
1472.6	370.05	NaN
1470.2	373.15	NaN
1472.6	375.15	NaN
1471.8	378.13	NaN
1466.5	382.68	NaN
1458.9	388.52	NaN
1451.3	394.81	NaN
1444.8	401.82	NaN
1439.2	407.7	NaN
1434.8	413.16	NaN
1426.3	421.51	NaN
1414.3	432.16	NaN
1409.8	436.02	NaN
1402.6	442.14	NaN
1396.3	447.1	NaN
1397.5	447.87	NaN
1387.5	455.14	NaN
1385.1	457.88	NaN
1375.4	464.17	NaN
1376.5	465.27	NaN
1366.7	471.29	NaN
1361.9	474.79	NaN
1355.1	479.07	NaN
1345.2	484.53	NaN
1335.9	489.36	NaN
1334	490.69	NaN
1325.7	495.11	NaN
1320	498.24	NaN
