X1	Y1	ProbId1	
966.44	242.17	NaN
982.72	231.53	NaN
982.27	229.71	NaN
966.5	241.9	NaN
966.6	242.13	NaN
966.43	241.7	NaN
966.41	241.61	NaN
967.2	243.79	NaN
968.19	248.66	NaN
967.39	255.08	NaN
967.05	257.75	NaN
966.29	261.09	NaN
966.3	261.49	NaN
965.77	263.12	NaN
964.78	264.6	NaN
963.41	269.81	NaN
963.29	269.54	NaN
963.29	269.9	NaN
963.28	269.88	NaN
963.67	266.62	NaN
963.72	266.58	NaN
963.63	266.77	NaN
963.64	266.31	NaN
963.69	265.97	NaN
963.69	265.97	NaN
963.62	266.67	NaN
963.6	266.47	NaN
963.6	266.13	NaN
963.46	267.03	NaN
963.47	266.78	NaN
963.47	266.78	NaN
963.46	266.71	NaN
963.31	267.03	NaN
963.01	266.62	NaN
959.59	271.66	NaN
955.51	275.88	NaN
955.51	275.86	NaN
951.5	281.16	NaN
949.13	283.72	NaN
947.46	284.52	NaN
944.73	288.39	NaN
939	300.16	NaN
939	300.16	NaN
934.61	310.21	NaN
930.88	317.68	NaN
927.86	322.86	NaN
924.98	328.58	NaN
924.54	328.64	NaN
924.35	329	NaN
921.49	334.02	NaN
921.03	333.91	NaN
918.88	336.89	NaN
916.89	340.17	NaN
915.9	341.78	NaN
915.65	342.34	NaN
918.16	337.67	NaN
918.02	338.34	NaN
917.76	338.88	NaN
917.89	338.47	NaN
918.28	337.72	NaN
918.32	337.58	NaN
916.37	341.38	NaN
916.18	341.63	NaN
916.49	341.03	NaN
916.49	341.03	NaN
916.33	341.34	NaN
916.35	341.24	NaN
916.42	341	NaN
916.51	340.94	NaN
916.38	341.22	NaN
918.04	337.77	NaN
918.54	337.39	NaN
918.61	337.28	NaN
918.82	336.53	NaN
918.35	337.44	NaN
918.7	336.69	NaN
918.56	337.19	NaN
918.44	337.5	NaN
918.59	337.28	NaN
918.91	336.58	NaN
918.34	337.84	NaN
918.22	338.21	NaN
918.46	337.88	NaN
918.51	337.79	NaN
918.51	337.79	NaN
918.27	337.85	NaN
917.83	338.33	NaN
918.01	338.15	NaN
918.36	337.23	NaN
918.06	337.82	NaN
916.79	340.41	NaN
916.56	341.02	NaN
916.39	341.31	NaN
916.76	340.42	NaN
916.29	341.41	NaN
916.33	341.39	NaN
916.33	341.39	NaN
916.7	340.79	NaN
916.88	340.79	NaN
917.31	339.67	NaN
918.11	338.1	NaN
918.3	337.69	NaN
918.6	337.06	NaN
918.69	336.75	NaN
918.69	336.77	NaN
916.57	340.92	NaN
917.89	338.14	NaN
917.65	338.56	NaN
917.65	338.56	NaN
916.65	340.67	NaN
917.81	338.04	NaN
916.44	340.98	NaN
916.32	341.32	NaN
916.81	340.24	NaN
917.03	339.75	NaN
916.72	340.63	NaN
916.83	340.44	NaN
916.82	340.5	NaN
918.18	337.78	NaN
918.01	338.16	NaN
918.01	337.9	NaN
918.26	337.52	NaN
918.31	337.49	NaN
918.11	338.17	NaN
916.29	341.71	NaN
916.46	341.32	NaN
916.46	341.32	NaN
916.5	341.2	NaN
916.8	340.61	NaN
916.85	340.65	NaN
916.61	340.95	NaN
916.43	341.38	NaN
916.64	340.94	NaN
916.43	341.28	NaN
916.25	341.62	NaN
917.78	338.69	NaN
917.95	338.23	NaN
918.02	338	NaN
917.9	338.24	NaN
917.93	338.38	NaN
917.91	338.29	NaN
916.64	341.2	NaN
916.45	341.4	NaN
918.45	337.81	NaN
918.45	337.81	NaN
916.74	341.1	NaN
916.16	341.86	NaN
916.6	341.08	NaN
916.54	341.22	NaN
916.46	341.35	NaN
917.99	338.22	NaN
918.06	338.02	NaN
918.05	337.93	NaN
917.95	338.05	NaN
917.97	338.04	NaN
916.79	340.51	NaN
916.52	341.02	NaN
916.67	340.55	NaN
916.56	340.98	NaN
916.34	341.57	NaN
916.47	341.33	NaN
916.87	340.42	NaN
916.79	340.57	NaN
916.92	340.35	NaN
917.35	339.52	NaN
918.84	336.5	NaN
918.8	336.59	NaN
918.88	336.51	NaN
918.83	336.57	NaN
918.63	336.94	NaN
917.28	339.73	NaN
916.78	340.7	NaN
918.64	337.17	NaN
918.49	337.53	NaN
918.49	337.53	NaN
916.52	340.93	NaN
916.36	341.44	NaN
916.28	341.65	NaN
916.17	341.82	NaN
917.73	338.88	NaN
917.73	338.88	NaN
918.27	337.82	NaN
918.27	337.82	NaN
916.76	340.75	NaN
916.59	341.06	NaN
916.99	340.16	NaN
917.04	339.89	NaN
916.07	341.92	NaN
916.13	341.78	NaN
916.47	341.17	NaN
916.22	341.67	NaN
916.95	339.95	NaN
917.04	339.76	NaN
917.69	338.71	NaN
917.62	339.11	NaN
918.31	337.98	NaN
918.04	338.06	NaN
918.06	337.81	NaN
918.04	337.92	NaN
918.11	337.83	NaN
918.47	337.99	NaN
918.52	337.42	NaN
918.43	337.95	NaN
916.33	341.47	NaN
916.6	340.83	NaN
916.28	341.54	NaN
916.25	341.74	NaN
915.99	342.25	NaN
918.8	337.15	NaN
918.36	337.13	NaN
918.21	337.92	NaN
918.21	337.92	NaN
916.35	341.14	NaN
916.34	341.27	NaN
916.9	340.22	NaN
916.6	340.77	NaN
916.56	340.81	NaN
916.56	340.81	NaN
916.39	341.15	NaN
918.18	337.79	NaN
918.21	337.79	NaN
918.08	338.02	NaN
918.02	338.18	NaN
918.26	337.72	NaN
918.33	337.64	NaN
918.37	337.44	NaN
918.22	337.81	NaN
917.69	338.94	NaN
916	342.15	NaN
916	342.15	NaN
916.01	342.25	NaN
915.92	342.5	NaN
915.97	342.41	NaN
915.89	342.57	NaN
916.58	341.03	NaN
916.58	341.03	NaN
916.19	341.76	NaN
917.65	338.46	NaN
917.58	338.84	NaN
917.64	338.87	NaN
917.79	338.36	NaN
917.98	337.85	NaN
916.16	341.72	NaN
916.53	341	NaN
916.17	341.84	NaN
916.26	341.87	NaN
915.78	342.72	NaN
915.78	342.72	NaN
915.98	342.06	NaN
915.96	342.41	NaN
915.92	342.38	NaN
917.82	338.66	NaN
918.23	338.12	NaN
918.29	337.99	NaN
918.49	337.16	NaN
918.01	337.68	NaN
917.87	337.98	NaN
918.25	337.16	NaN
918.31	336.96	NaN
918.31	336.96	NaN
917.77	338.08	NaN
916.14	341.57	NaN
915.95	341.85	NaN
917.65	338.57	NaN
918.02	337.88	NaN
918.03	337.81	NaN
918.07	337.69	NaN
918.26	337.5	NaN
918.03	338.3	NaN
917.8	338.6	NaN
918.09	338.19	NaN
918.09	338.19	NaN
918.01	338.26	NaN
918.15	337.95	NaN
918.06	337.94	NaN
917.88	338.04	NaN
917.91	337.95	NaN
917.93	337.89	NaN
916.53	340.82	NaN
906.61	352.49	NaN
897.78	361.6	NaN
896.93	362.2	NaN
894.89	364.25	NaN
894.89	364.25	NaN
891.18	367.05	NaN
885.28	372.07	NaN
887.85	369.13	NaN
879.69	375.84	NaN
884.26	371.17	NaN
884.26	371.17	NaN
876.29	377.06	NaN
882.37	371.4	NaN
883.12	371.3	NaN
882.05	372.2	NaN
882.9	371.2	NaN
882.67	371.34	NaN
877.1	376.02	NaN
876.92	376.3	NaN
875.86	376.67	NaN
875.77	376.72	NaN
876.26	376.51	NaN
876.21	376.59	NaN
876.37	376.19	NaN
882.87	371.42	NaN
882.79	371.51	NaN
876.8	376.74	NaN
877.13	376.7	NaN
883.32	371.21	NaN
884.7	370.29	NaN
884.47	370.43	NaN
875.26	379.21	NaN
875.26	380.38	NaN
864.85	391.51	NaN
864.08	392.23	NaN
856.56	399.46	NaN
850.71	404.83	NaN
843.43	411.79	NaN
839.58	415.22	NaN
835.92	418.19	NaN
836.77	417.23	NaN
834.05	419.34	NaN
832.22	420.76	NaN
829.23	422.86	NaN
828.02	423.64	NaN
826.31	424.85	NaN
825.93	424.99	NaN
825.2	425.79	NaN
825.74	426.07	NaN
827.8	424.43	NaN
826.41	425.78	NaN
825.92	426.11	NaN
826.33	425.74	NaN
826.01	426.05	NaN
825.43	426.24	NaN
825.83	425.77	NaN
825.68	425.74	NaN
824.29	426.99	NaN
824.29	426.99	NaN
826.21	425.23	NaN
826.03	425.39	NaN
826.12	425.33	NaN
826.89	424.76	NaN
826.89	424.76	NaN
826.89	424.76	NaN
826.62	425.41	NaN
825.93	425.95	NaN
826.32	425.8	NaN
826.39	425.73	NaN
826.4	425.78	NaN
826.4	425.78	NaN
827.11	425.45	NaN
827.89	424.66	NaN
827.4	425.14	NaN
828.17	424.2	NaN
827.57	424.58	NaN
827.57	424.58	NaN
826.84	425.29	NaN
826.11	425.78	NaN
825.91	426.06	NaN
825.21	426.52	NaN
819.75	431.46	NaN
826.69	424.95	NaN
826.73	425.01	NaN
826.7	425	NaN
825.93	426.01	NaN
826.48	425.63	NaN
826.91	425.43	NaN
827.55	424.95	NaN
826.79	425.58	NaN
827.42	425.09	NaN
827.51	424.87	NaN
827.19	425.2	NaN
826.97	425.28	NaN
827.31	424.99	NaN
827.12	425.27	NaN
826.66	425.79	NaN
827.08	425.13	NaN
827.25	424.75	NaN
826.31	425.61	NaN
826.44	425.37	NaN
826.65	425.16	NaN
826.92	424.79	NaN
827.43	424.31	NaN
826.54	425.29	NaN
826.32	425.55	NaN
826.19	425.65	NaN
827.28	424.81	NaN
827.66	424.53	NaN
827.25	425.24	NaN
827.49	425.04	NaN
827.34	425.47	NaN
827.47	425.32	NaN
827.5	425.27	NaN
827.09	425.36	NaN
827.08	425.29	NaN
827.37	424.85	NaN
827.46	424.68	NaN
827.43	424.66	NaN
826.97	425.02	NaN
826.91	425.06	NaN
826.57	425.33	NaN
826.34	425.36	NaN
826.79	424.88	NaN
820.72	430.82	NaN
820.72	430.82	NaN
820.76	430.74	NaN
821.63	429.94	NaN
827.02	425.25	NaN
826.91	425.31	NaN
820.48	431.75	NaN
821.11	431.18	NaN
820.98	431.38	NaN
820.36	431.98	NaN
820.03	432.13	NaN
820.16	432.12	NaN
820.48	431.74	NaN
820.48	431.74	NaN
820.67	431.38	NaN
826.28	426.1	NaN
826.47	425.85	NaN
820.44	431.25	NaN
821.14	430.44	NaN
826.86	425.33	NaN
827.2	424.84	NaN
826.51	425.29	NaN
826.18	425.6	NaN
826.73	425.51	NaN
826.89	425.43	NaN
826.88	425.46	NaN
826.54	425.81	NaN
826.58	425.82	NaN
826.44	426.01	NaN
826.74	426.18	NaN
826.34	426.55	NaN
826.4	426.52	NaN
820.68	431.64	NaN
820.75	431.58	NaN
820.9	431.33	NaN
826.78	425.73	NaN
826.7	425.59	NaN
826.54	425.74	NaN
826.54	425.64	NaN
821.87	429.87	NaN
822.05	429.78	NaN
822.31	429.43	NaN
821.94	429.71	NaN
821.95	429.68	NaN
827.4	424.82	NaN
827.52	424.79	NaN
821.64	430.12	NaN
826.17	425.82	NaN
826.23	425.82	NaN
826.14	425.89	NaN
825.54	426.65	NaN
825.28	427.02	NaN
825.39	426.91	NaN
824.64	427.22	NaN
826.39	425.99	NaN
826.66	425.83	NaN
826.5	425.78	NaN
827.04	425.22	NaN
827.37	424.7	NaN
826.57	425.31	NaN
824.24	427.23	NaN
824.24	427.23	NaN
824.35	426.99	NaN
824.8	426.54	NaN
818.36	432.73	NaN
818.53	432.78	NaN
