X1	Y1	ProbId1	
253.9	221.26	NaN
256.31	221.9	NaN
256.55	221.88	NaN
258.67	222.05	NaN
258.67	222.05	NaN
259.67	223.66	NaN
259.19	225.58	NaN
259.19	225.58	NaN
257.84	226.67	NaN
256.58	227.73	NaN
256.58	227.73	NaN
255.55	228.36	NaN
255.55	228.36	NaN
255.03	229.13	NaN
255.03	229.13	NaN
254.24	230.16	NaN
253.87	231.45	NaN
253.87	231.45	NaN
253.36	233.66	NaN
252.39	236.87	NaN
252.39	236.87	NaN
252.39	236.87	NaN
249.58	240.62	NaN
247.54	242.32	NaN
247.54	242.32	NaN
245.27	242.86	NaN
241.79	245.88	NaN
241.79	245.88	NaN
237.84	250.21	NaN
234.22	254	NaN
234.22	254	NaN
231.08	256.61	NaN
231.08	256.61	NaN
227.88	257.16	NaN
227.88	257.16	NaN
225.76	256.02	NaN
226	254.77	NaN
225.94	254.83	NaN
226.11	254.4	NaN
226.46	253.97	NaN
226.46	253.97	NaN
226.46	253.97	NaN
226.03	253.82	NaN
226.17	253.57	NaN
226.17	253.57	NaN
226.16	253.43	NaN
226.16	253.43	NaN
226.16	253.43	NaN
225.62	253.67	NaN
225.31	253.41	NaN
225.31	253.41	NaN
225.35	253.38	NaN
224.68	252.94	NaN
224.01	252.24	NaN
224.01	252.24	NaN
225.08	251.34	NaN
225.98	250.73	NaN
225.98	250.73	NaN
226.73	249.87	NaN
226.73	249.87	NaN
227.14	249.35	NaN
227.14	249.35	NaN
227.99	247.56	NaN
228.7	245.65	NaN
228.7	245.65	NaN
228.76	243.78	NaN
229.1	242.53	NaN
229.1	242.53	NaN
230.08	243.03	NaN
230.08	243.03	NaN
230.3	243.69	NaN
230.3	243.69	NaN
231.96	243.54	NaN
233.88	243.96	NaN
233.88	243.96	NaN
235.11	244.06	NaN
236.55	243.83	NaN
236.55	243.83	NaN
239.52	243.97	NaN
239.52	243.97	NaN
241.28	245.21	NaN
241.28	245.21	NaN
242.01	245.8	NaN
242.72	246.35	NaN
242.72	246.35	NaN
243.52	246.83	NaN
244.42	247.74	NaN
244.42	247.74	NaN
244.62	247.94	NaN
244.53	248.04	NaN
243.24	248.3	NaN
243.22	248.33	NaN
243.13	249.82	NaN
243.26	251.44	NaN
243.26	251.44	NaN
242.88	253.1	NaN
243.79	254.4	NaN
243.75	254.4	NaN
244.46	255.52	NaN
244.38	255.56	NaN
244.8	256.01	NaN
244.8	256.01	NaN
244.9	256.43	NaN
245.25	258.12	NaN
245.25	258.12	NaN
245.88	260.42	NaN
246.57	263.43	NaN
246.57	263.43	NaN
246.22	266.26	NaN
246.22	266.26	NaN
245.2	268.71	NaN
245.2	268.71	NaN
244.59	272.11	NaN
244.35	275.98	NaN
244.35	275.98	NaN
245.4	281.36	NaN
245.65	285.39	NaN
245.65	285.39	NaN
245.13	289.89	NaN
245.13	289.89	NaN
245.06	293.33	NaN
245.03	293.22	NaN
245.01	297.11	NaN
244.23	302.02	NaN
244.24	302.07	NaN
243.7	307.32	NaN
242.3	312.17	NaN
242.3	312.17	NaN
239.09	315.38	NaN
239.09	315.38	NaN
235.55	318.16	NaN
235.55	318.3	NaN
231.68	321.04	NaN
228.28	324.6	NaN
228.3	324.54	NaN
226.24	325.37	NaN
225.22	324.42	NaN
225.21	324.44	NaN
224.73	322.79	NaN
224.73	322.79	NaN
223.81	321.42	NaN
223.81	321.42	NaN
223.8	319.41	NaN
223.76	317.54	NaN
223.76	317.54	NaN
224.72	316.8	NaN
225.82	316.05	NaN
225.82	316.05	NaN
225.8	314.68	NaN
225.8	314.68	NaN
225.87	313.92	NaN
225.69	313.76	NaN
225.46	312.52	NaN
225.33	310.59	NaN
225.33	310.59	NaN
225.84	308.67	NaN
227.19	307.31	NaN
227.19	307.31	NaN
228.29	306.81	NaN
228.29	306.81	NaN
229.49	307.08	NaN
229.49	307.08	NaN
230.37	307.22	NaN
231.1	307.45	NaN
231.12	307.48	NaN
231.78	307.45	NaN
234.58	306.96	NaN
234.69	306.92	NaN
237.13	306.81	NaN
237.13	306.81	NaN
239.11	306.23	NaN
239.11	306.23	NaN
240.09	304.92	NaN
240.81	304.18	NaN
240.81	304.18	NaN
242.16	302.65	NaN
243	301.23	NaN
243.02	301.26	NaN
244.67	300.53	NaN
244.67	300.53	NaN
247.4	301.15	NaN
247.03	301.3	NaN
249.15	303.27	NaN
250.55	305.1	NaN
250.55	305.1	NaN
251.96	305.93	NaN
253.84	306.26	NaN
253.84	306.26	NaN
257	307.23	NaN
257	307.23	NaN
260.93	308.72	NaN
260.93	308.72	NaN
262.49	311.08	NaN
262.52	312	NaN
262.52	312	NaN
262.11	313.22	NaN
261.28	315.89	NaN
261.27	315.87	NaN
261.87	318.67	NaN
261.87	318.67	NaN
263.18	323.42	NaN
263.18	323.42	NaN
264.21	331.25	NaN
264.39	337.1	NaN
264.36	336.99	NaN
262.45	341.5	NaN
260.5	345.62	NaN
260.5	345.62	NaN
258.8	351.79	NaN
258.8	351.79	NaN
257.41	356.98	NaN
257.41	356.98	NaN
255.85	360.1	NaN
253.18	362.9	NaN
253.18	362.9	NaN
249.87	364.2	NaN
246.89	365.88	NaN
246.79	365.8	NaN
244.95	367.9	NaN
244.95	367.9	NaN
241.36	371.09	NaN
241.39	371.08	NaN
239.36	370.85	NaN
237.76	369.52	NaN
237.76	369.52	NaN
237.3	368.46	NaN
237.5	367.08	NaN
237.5	367.08	NaN
236.79	366.6	NaN
236.79	366.6	NaN
235.51	365.75	NaN
235.57	365.77	NaN
236.01	364.89	NaN
236.25	364.25	NaN
236.25	364.25	NaN
236.48	363.21	NaN
236.19	362.85	NaN
236.19	362.85	NaN
237.07	362.68	NaN
236.63	362.28	NaN
236.29	362.01	NaN
236.29	362.01	NaN
234.3	359.75	NaN
233.58	358.05	NaN
233.58	358.05	NaN
232.41	357.06	NaN
230.66	355.78	NaN
230.67	355.74	NaN
227.74	354.24	NaN
227.52	354.25	NaN
223.5	351.83	NaN
223.54	351.83	NaN
221.74	348.9	NaN
222.74	347.47	NaN
222.79	347.44	NaN
224.2	347.03	NaN
225.08	345.51	NaN
225.08	345.51	NaN
225.6	342.5	NaN
225.6	342.5	NaN
224.86	340.7	NaN
224.86	340.7	NaN
224.72	338.94	NaN
224.92	336.97	NaN
225.01	337.27	NaN
226.83	333.58	NaN
228.51	329.65	NaN
228.51	329.68	NaN
230.3	326.82	NaN
230.3	326.82	NaN
232.69	326.26	NaN
232.69	326.26	NaN
235.51	325.79	NaN
238.23	324.14	NaN
238.23	324.14	NaN
242.44	322.45	NaN
