X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	
120.96	293.81	NaN	126.49	571.28	NaN	469.72	572.43	NaN	720.9	296.9	NaN
120.87	289.63	NaN	126.49	571.28	NaN	466.83	572.77	NaN	720.76	296.66	NaN
121	287.76	NaN	126.49	571.28	NaN	464.19	572.83	NaN	720.9	296.9	NaN
120.02	284.54	NaN	126.49	571.28	NaN	461.89	572.71	NaN	720.9	296.9	NaN
120.09	282.77	NaN	126.53	571.47	NaN	459.08	572.84	NaN	720.9	296.9	NaN
120.93	279.76	NaN	126.55	571.57	NaN	456.6	572.6	NaN	720.9	296.9	NaN
120.24	276.49	NaN	126.49	571.28	NaN	453.86	571.7	NaN	720.9	296.9	NaN
120	273.58	NaN	126.48	571.18	NaN	451.3	571.67	NaN	720.9	296.9	NaN
120.81	270.2	NaN	126.48	571.18	NaN	448.74	572.51	NaN	720.9	296.9	NaN
120.58	264.98	NaN	126.49	571.28	NaN	446.1	572.78	NaN	720.9	296.9	NaN
120.48	260.93	NaN	126.53	571.18	NaN	443.46	572.81	NaN	720.9	296.9	NaN
120.17	256.17	NaN	126.53	571.18	NaN	441.5	572.65	NaN	720.9	296.9	NaN
119.92	252.32	NaN	126.49	571.28	NaN	439.51	572.71	NaN	720.9	296.9	NaN
119.8	247.93	NaN	126.49	571.28	NaN	437.65	572.43	NaN	720.9	296.9	NaN
121	244	NaN	126.49	571.28	NaN	437.31	571.6	NaN	720.9	296.9	NaN
121.21	240.39	NaN	126.49	571.28	NaN	437.57	571.3	NaN	720.9	296.9	NaN
120.53	236.44	NaN	126.44	571.02	NaN	438.03	570.84	NaN	720.82	296.79	NaN
120.31	232.26	NaN	126.44	571.02	NaN	437.73	571.03	NaN	720.82	296.79	NaN
119.86	228.46	NaN	126.49	571.28	NaN	437.94	571	NaN	720.81	296.06	NaN
120.08	225.58	NaN	126.36	571.56	NaN	437.44	571.42	NaN	720.97	296.87	NaN
119.79	220.85	NaN	126.41	571.32	NaN	437.44	571.42	NaN	720.97	296.87	NaN
119.81	217.28	NaN	126.61	571.59	NaN	437.95	571.53	NaN	720.83	296.77	NaN
119.75	213.64	NaN	126.6	572	NaN	437.8	571.97	NaN	720.9	296.9	NaN
119.44	208.68	NaN	126.54	571.68	NaN	437.68	572.03	NaN	720.9	296.9	NaN
119.92	204.43	NaN	126.53	571.47	NaN	437.82	572.18	NaN	720.97	296.87	NaN
119.49	200.62	NaN	126.6	571.79	NaN	437.8	572.63	NaN	720.97	296.87	NaN
118.59	196.17	NaN	126.59	571.66	NaN	438.05	572.25	NaN	720.97	296.87	NaN
118.46	192.2	NaN	126.48	571.18	NaN	438.46	572.66	NaN	720.97	296.87	NaN
118.52	188.94	NaN	126.6	571.79	NaN	439.35	573.04	NaN	720.97	296.87	NaN
118.52	184.9	NaN	126.63	571.37	NaN	439.82	572.41	NaN	720.97	296.87	NaN
118.4	181.04	NaN	126.56	571.51	NaN	440.58	573.22	NaN	720.9	296.9	NaN
118.97	177.91	NaN	126.53	571.47	NaN	440.58	573.22	NaN	720.9	296.9	NaN
119.06	174.56	NaN	126.59	571.45	NaN	440.32	573.04	NaN	720.9	296.9	NaN
118.03	170.91	NaN	126.65	571.77	NaN	440.36	573.35	NaN	720.83	296.77	NaN
117.89	167.14	NaN	126.59	571.45	NaN	439.85	573.24	NaN	720.9	296.9	NaN
117.74	163.09	NaN	126.54	571.71	NaN	439.85	573.24	NaN	720.9	296.9	NaN
117.85	159.09	NaN	126.54	571.71	NaN	439.85	573.3	NaN	720.9	296.9	NaN
118.22	156.17	NaN	126.54	571.71	NaN	439.85	573.3	NaN	720.9	296.9	NaN
118.69	152.44	NaN	126.54	571.71	NaN	440.4	573.35	NaN	720.9	296.9	NaN
118.28	149.14	NaN	126.54	571.71	NaN	439.91	573.31	NaN	720.9	296.9	NaN
117.74	145.52	NaN	126.54	571.71	NaN	439.81	573.32	NaN	720.9	296.9	NaN
117.67	141.21	NaN	126.48	571.71	NaN	439.74	573.3	NaN	720.9	296.9	NaN
117.51	137.38	NaN	126.48	571.4	NaN	439.81	573.32	NaN	720.9	296.9	NaN
117.26	133.1	NaN	126.53	571.49	NaN	439.81	573.32	NaN	720.9	296.9	NaN
117.76	128.76	NaN	126.53	571.49	NaN	439.72	573.22	NaN	720.9	296.9	NaN
118.21	124.39	NaN	126.48	571.41	NaN	439.94	573.25	NaN	720.9	296.9	NaN
117.63	120.29	NaN	126.48	571.5	NaN	439.94	573.25	NaN	720.9	296.9	NaN
117.97	116	NaN	126.48	571.41	NaN	440	573.22	NaN	720.9	296.9	NaN
118.5	111.44	NaN	126.53	571.4	NaN	439.82	573.29	NaN	720.9	296.9	NaN
117.85	106.68	NaN	126.53	571.49	NaN	439.91	573.23	NaN	720.9	296.9	NaN
117.22	102.03	NaN	126.53	571.49	NaN	439.98	573.33	NaN	720.9	296.9	NaN
117.43	97.4	NaN	126.53	571.49	NaN	439.85	573.25	NaN	720.9	296.9	NaN
116.64	92.929	NaN	126.53	571.49	NaN	439.61	573.16	NaN	720.9	296.9	NaN
115.93	87.884	NaN	126.53	571.49	NaN	439.82	573.18	NaN	720.9	296.9	NaN
116.06	84.519	NaN	126.48	571.24	NaN	439.82	573.18	NaN	720.9	296.9	NaN
115.82	78.412	NaN	126.48	571.14	NaN	439.57	573.14	NaN	720.9	296.9	NaN
115.79	73.697	NaN	126.48	571.14	NaN	439.74	573.18	NaN	720.9	296.9	NaN
116.33	69.873	NaN	126.59	571.48	NaN	439.57	573.14	NaN	720.9	296.9	NaN
116.06	65.636	NaN	126.59	571.48	NaN	439.57	573.14	NaN	720.9	296.9	NaN
115.53	61.333	NaN	126.59	571.48	NaN	439.57	573.14	NaN	720.9	296.9	NaN
115.76	56.976	NaN	126.59	571.48	NaN	439.57	573.14	NaN	720.9	296.9	NaN
115.78	56.333	NaN	126.59	571.48	NaN	439.57	573.14	NaN	720.9	296.9	NaN
115.3	56.209	NaN	126.53	571.49	NaN	439.57	573.14	NaN	720.9	296.9	NaN
114.93	55.857	NaN	126.59	571.48	NaN	439.57	573.14	NaN	720.9	296.9	NaN
115	55.897	NaN	126.59	571.48	NaN	439.74	573.18	NaN	720.9	296.9	NaN
115.26	56.618	NaN	126.59	571.48	NaN	439.57	573.14	NaN	720.9	296.9	NaN
115.83	56.583	NaN	126.48	571.14	NaN	439.46	573.1	NaN	720.9	296.9	NaN
115.75	56.889	NaN	126.48	571.4	NaN	439.98	573.33	NaN	720.9	296.9	NaN
115.97	56.818	NaN	126.59	571.48	NaN	439.69	573.12	NaN	720.9	296.9	NaN
116.11	56.649	NaN	126.53	571.4	NaN	439.54	573.19	NaN	720.9	296.9	NaN
116.16	56.789	NaN	126.48	571.14	NaN	439.54	573.19	NaN	720.9	296.9	NaN
116.16	56.789	NaN	126.48	571.14	NaN	439.53	573.08	NaN	720.9	296.9	NaN
116.11	56.649	NaN	126.53	571.22	NaN	439.43	573.14	NaN	720.9	296.9	NaN
116.11	56.649	NaN	126.53	571.22	NaN	439.32	573.2	NaN	720.9	296.9	NaN
116.11	56.649	NaN	126.53	571.22	NaN	439.42	573.08	NaN	720.9	296.9	NaN
116.18	56.868	NaN	126.48	571.14	NaN	439.53	573.08	NaN	720.97	296.87	NaN
116.15	57.075	NaN	126.53	571.22	NaN	439.63	573.14	NaN	720.97	296.87	NaN
116.05	57.026	NaN	126.53	571.22	NaN	439.53	573.08	NaN	720.97	296.87	NaN
115.89	56.886	NaN	126.48	571.14	NaN	439.67	573.16	NaN	720.97	296.87	NaN
116	57	NaN	126.48	571.14	NaN	439.5	573.17	NaN	720.97	296.87	NaN
116.03	57.395	NaN	126.48	571.14	NaN	439.52	573.09	NaN	720.97	296.87	NaN
115.86	57.162	NaN	126.53	571.22	NaN	439.57	573.29	NaN	720.97	296.87	NaN
115.94	57.389	NaN	126.53	571.22	NaN	439.31	573.16	NaN	720.97	296.87	NaN
115.77	57.257	NaN	126.48	571.14	NaN	439.5	573.17	NaN	720.9	296.9	NaN
115.6	57.509	NaN	126.48	571.14	NaN	439.25	573.22	NaN	720.9	296.9	NaN
115.6	57.906	NaN	126.48	571.14	NaN	439.02	573.14	NaN	720.82	296.79	NaN
115.6	57.906	NaN	126.42	571.16	NaN	439.53	573.08	NaN	720.82	296.79	NaN
115.57	57.796	NaN	126.42	571.16	NaN	439.44	573.17	NaN	720.82	296.79	NaN
115.57	58.196	NaN	126.37	570.93	NaN	439.63	573.25	NaN	720.82	296.79	NaN
115.58	58.434	NaN	126.37	570.93	NaN	439.63	573.25	NaN	720.82	296.79	NaN
115.52	58.667	NaN	126.45	571.3	NaN	439.63	573.25	NaN	720.79	296.9	NaN
115.52	58.667	NaN	126.42	571.16	NaN	439.63	573.25	NaN	720.87	296.55	NaN
115.58	59.164	NaN	126.42	571.16	NaN	439.63	573.25	NaN	720.79	296.9	NaN
115.55	59.054	NaN	126.42	571.16	NaN	439.63	573.25	NaN	720.79	296.9	NaN
115.58	59.75	NaN	126.42	571.16	NaN	439.63	573.25	NaN	720.82	296.79	NaN
115.61	59.864	NaN	126.42	571.16	NaN	439.63	573.25	NaN	720.79	296.9	NaN
115.65	60.5	NaN	126.48	571.14	NaN	439.63	573.25	NaN	720.79	296.9	NaN
115.61	60.475	NaN	126.48	571.14	NaN	439.54	573.19	NaN	720.79	296.9	NaN
115.49	59.891	NaN	126.42	571.14	NaN	439.92	573.36	NaN	720.79	296.9	NaN
115.49	59.891	NaN	126.42	571.14	NaN	439.49	573.13	NaN	720.79	296.9	NaN
115.41	59.768	NaN	126.37	571.26	NaN	439.16	573.2	NaN	720.9	296.9	NaN
115.41	59.768	NaN	126.46	571.39	NaN	438.83	573.31	NaN	720.9	296.9	NaN
115.41	59.768	NaN	126.43	571.24	NaN	438.76	572.98	NaN	720.97	296.87	NaN
115.39	60.246	NaN	126.43	571.24	NaN	438.76	572.98	NaN	720.97	296.87	NaN
115.32	60.089	NaN	126.43	571.24	NaN	438.88	573.22	NaN	720.97	296.87	NaN
115.33	60.296	NaN	126.43	571.24	NaN	438.71	572.98	NaN	720.97	296.87	NaN
115.29	60.345	NaN	126.37	571	NaN	438.89	573	NaN	720.9	296.76	NaN
115.36	60.382	NaN	126.37	571	NaN	438.92	573.18	NaN	720.87	296.87	NaN
115.32	60.429	NaN	126.48	571.23	NaN	439.06	572.94	NaN	720.87	296.87	NaN
115.29	60.636	NaN	126.3	571.42	NaN	438.88	573.22	NaN	720.9	296.76	NaN
115.29	60.768	NaN	126.42	571.44	NaN	439.06	572.92	NaN	720.9	296.76	NaN
115.29	60.768	NaN	126.48	571.52	NaN	438.78	573.18	NaN	720.9	296.76	NaN
115.29	60.768	NaN	126.42	571.44	NaN	438.84	573.08	NaN	720.97	296.87	NaN
115.31	60.873	NaN	126.48	571.52	NaN	438.84	573.08	NaN	720.97	296.87	NaN
115.26	61.596	NaN	126.48	571	NaN	439.04	573.08	NaN	720.9	296.76	NaN
115.26	61.596	NaN	126.48	571	NaN	438.92	573.1	NaN	720.9	296.76	NaN
115.28	61.396	NaN	126.48	571.23	NaN	439.09	572.96	NaN	720.9	296.76	NaN
115.28	61.396	NaN	126.42	571.14	NaN	438.98	573.08	NaN	720.9	296.76	NaN
115.28	61.396	NaN	126.42	571.14	NaN	438.88	573.04	NaN	720.9	296.76	NaN
115.25	61.481	NaN	126.53	571.22	NaN	438.92	573.1	NaN	720.9	296.76	NaN
115.25	61.623	NaN	126.48	571.14	NaN	438.98	573.06	NaN	720.9	296.76	NaN
115.29	61.8	NaN	126.48	571.23	NaN	438.98	573.06	NaN	720.97	296.87	NaN
115.29	61.8	NaN	126.42	571.24	NaN	438.98	573.06	NaN	720.97	296.87	NaN
115.19	61.811	NaN	126.37	570.93	NaN	439.12	573.02	NaN	720.97	296.87	NaN
115.28	61.759	NaN	126.48	571.23	NaN	438.98	573.14	NaN	720.9	296.9	NaN
115.25	61.679	NaN	126.42	571	NaN	438.98	573.14	NaN	720.9	296.9	NaN
115.23	61.736	NaN	126.42	571	NaN	438.94	573	NaN	720.9	296.9	NaN
115.24	61.8	NaN	126.36	570.91	NaN	439	573.04	NaN	720.9	296.9	NaN
115.24	61.8	NaN	126.36	570.91	NaN	439	573.04	NaN	720.97	296.87	NaN
115.28	61.759	NaN	126.42	570.91	NaN	439.17	573.06	NaN	720.82	296.75	NaN
115.22	61.964	NaN	126.42	571.24	NaN	439.21	573.12	NaN	720.74	296.78	NaN
115.16	62.25	NaN	126.48	571.52	NaN	439.07	573.09	NaN	720.74	296.78	NaN
115.2	62.037	NaN	126.42	571.24	NaN	439.21	573.19	NaN	720.9	296.76	NaN
115.21	62.107	NaN	126.36	571.16	NaN	438.53	572.92	NaN	720.82	296.79	NaN
115.21	62.107	NaN	126.36	571.16	NaN	438.3	571.86	NaN	720.82	296.79	NaN
115.15	62.091	NaN	126.42	571.24	NaN	438.22	567.86	NaN	720.82	296.79	NaN
115.15	62.091	NaN	126.48	571.23	NaN	436.45	562.18	NaN	720.82	296.79	NaN
115.15	62.091	NaN	126.48	571.23	NaN	435.72	559.47	NaN	720.82	296.79	NaN
115.19	62.037	NaN	126.36	570.91	NaN	435.17	558.07	NaN	720.82	296.75	NaN
115.19	62.037	NaN	126.36	570.91	NaN	435.05	555.8	NaN	720.82	296.75	NaN
115.19	62.037	NaN	126.42	571.16	NaN	435.7	553.19	NaN	720.82	296.75	NaN
115.19	62.037	NaN	126.42	571.16	NaN	435.51	550.54	NaN	720.82	296.75	NaN
115.19	62.037	NaN	126.31	570.93	NaN	435.34	546.97	NaN	720.82	296.75	NaN
115.19	62.037	NaN	126.31	570.93	NaN	436.11	543.22	NaN	720.82	296.75	NaN
115.21	62.151	NaN	126.37	570.93	NaN	436.89	540.26	NaN	720.82	296.75	NaN
115.21	62.151	NaN	126.37	570.93	NaN	435.95	535.17	NaN	720.74	296.78	NaN
115.21	62.151	NaN	126.42	571.16	NaN	435.98	530.74	NaN	720.74	296.78	NaN
115.21	62.151	NaN	126.42	571.16	NaN	436.33	527.26	NaN	720.74	296.78	NaN
115.17	62.204	NaN	126.38	571.11	NaN	435.88	522.69	NaN	720.76	296.66	NaN
115.15	62.291	NaN	126.37	571.02	NaN	436.79	518.16	NaN	720.76	296.66	NaN
115.15	62.291	NaN	126.42	571.24	NaN	436.7	514.98	NaN	720.76	296.66	NaN
115.15	62.291	NaN	126.42	571	NaN	436.41	511.54	NaN	720.76	296.66	NaN
115.15	62.291	NaN	126.37	571.02	NaN	435.7	508.3	NaN	720.76	296.66	NaN
115.15	62.291	NaN	126.42	571	NaN	435.97	504.29	NaN	720.83	296.63	NaN
115.15	62.291	NaN	126.42	571	NaN	436.53	501.15	NaN	720.9	296.74	NaN
115.15	62.291	NaN	126.42	571	NaN	436.22	498.22	NaN	720.9	296.74	NaN
115.15	62.291	NaN	126.48	571.23	NaN	436.19	492.41	NaN	720.83	296.63	NaN
115.15	62.291	NaN	126.55	571.62	NaN	436.39	489.26	NaN	720.6	296.83	NaN
115.17	62.057	NaN	126.48	571.27	NaN	435.97	484.68	NaN	720.76	296.66	NaN
115.15	62.148	NaN	126.53	571.51	NaN	436.81	480.05	NaN	720.77	297.19	NaN
