X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	X7	Y7	ProbId7	X8	Y8	ProbId8	
506.77	699.27	NaN	631.96	200.16	NaN	735.24	958.18	NaN	915.52	977.46	NaN	1056.6	418.2	NaN	1143.4	903.11	NaN	1280.8	700.56	NaN	1377.1	744.4	NaN
506.75	699.56	NaN	631.97	200.2	NaN	735.35	957.2	NaN	928.27	975.43	NaN	1056.6	418.25	NaN	1125.8	904.11	NaN	1278.8	709.4	NaN	1377	744.83	NaN
506.69	699.34	NaN	632.13	200.28	NaN	732.84	955.97	NaN	941.97	973.91	NaN	1056.6	418.25	NaN	1104.9	907.27	NaN	1279.1	721.78	NaN	1377.2	745.59	NaN
506.64	698.57	NaN	631.92	200.26	NaN	730.54	951.71	NaN	962.05	976.88	NaN	1056.6	418.25	NaN	1088.7	920.86	NaN	1275.4	734.54	NaN	1377.2	746.37	NaN
506.68	698.55	NaN	631.85	200.26	NaN	727.36	950.65	NaN	973.79	973.89	NaN	1056.6	418.25	NaN	1071.8	926.8	NaN	1272.2	754.38	NaN	1377.4	747.14	NaN
506.77	698.82	NaN	631.64	200.15	NaN	723.42	950.04	NaN	983.67	974.65	NaN	1056.6	418.28	NaN	1063.1	933	NaN	1277.1	779.12	NaN	1377.6	747.73	NaN
506.82	699.14	NaN	631.77	200.25	NaN	724.28	944.14	NaN	983.07	974.67	NaN	1056.6	418.28	NaN	1067.1	936.95	NaN	1270.2	796.27	NaN	1377	748.79	NaN
506.72	698.44	NaN	631.71	200.22	NaN	725.15	940.75	NaN	981.23	974.03	NaN	1056.7	418.23	NaN	1067.4	940.1	NaN	1260.1	811.94	NaN	1377.2	748.94	NaN
506.7	698.36	NaN	631.43	200.03	NaN	726.23	936.75	NaN	981.65	974.48	NaN	1056.7	417.98	NaN	1067.9	943.28	NaN	1256.4	841.86	NaN	1375.7	750.99	NaN
506.56	698.32	NaN	631.27	200.1	NaN	726.17	932.93	NaN	981.18	974.34	NaN	1056.6	418.35	NaN	1068.5	947.78	NaN	1245.8	849.54	NaN	1375.2	751.87	NaN
506.65	699.24	NaN	631.56	200.42	NaN	731.12	929.03	NaN	978.97	973.71	NaN	1056.6	418.11	NaN	1072.2	951.11	NaN	1230.8	860.14	NaN	1375.5	751.95	NaN
506.73	699.4	NaN	631.79	200.59	NaN	734.45	927.33	NaN	980.07	974.14	NaN	1056.6	418.11	NaN	1070.8	954.72	NaN	1222.3	868.49	NaN	1375.6	750.99	NaN
506.69	699.13	NaN	632.06	200.86	NaN	735.37	924.09	NaN	980.73	973.87	NaN	1056.7	417.98	NaN	1073.9	961.83	NaN	1205.1	869.19	NaN	1374.8	752.24	NaN
506.75	699.29	NaN	632.05	200.87	NaN	741.14	923.84	NaN	982.26	974.5	NaN	1056.6	418.36	NaN	1076.9	966.94	NaN	1190.1	868.27	NaN	1374.7	753.11	NaN
506.73	699.2	NaN	632.19	200.96	NaN	749.12	923.9	NaN	983.01	974.28	NaN	1056.6	418.39	NaN	1076.6	971.49	NaN	1182.6	859.74	NaN	1374.7	753.22	NaN
506.7	699.24	NaN	631.95	200.86	NaN	757.16	926.67	NaN	983.39	973.78	NaN	1056.6	418.4	NaN	1078.1	973.58	NaN	1179.6	854.67	NaN	1374.8	753.36	NaN
506.69	699.26	NaN	631.89	200.85	NaN	770.76	927.88	NaN	984.68	973.09	NaN	1056.6	418.43	NaN	1077.2	974.62	NaN	1166.2	854.44	NaN	1374.7	753.72	NaN
