X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	
196.99	289.75	NaN	230.08	329.12	NaN	302.24	122.61	NaN	784.04	71.701	NaN	186.78	60.36	NaN
196.32	291.28	NaN	228.63	331.67	NaN	303.23	121.54	NaN	783.05	69.478	NaN	181.89	60.955	NaN
195.04	293.83	NaN	226.81	335.36	NaN	304.92	120.32	NaN	784.04	65.257	NaN	176.94	61.685	NaN
194.27	295.22	NaN	224.99	338.47	NaN	305.67	119.64	NaN	786.09	63.439	NaN	173.09	61.786	NaN
193.24	297.27	NaN	223.49	341.38	NaN	306.35	119.38	NaN	791.49	59.822	NaN	168.44	62.008	NaN
192.34	299.24	NaN	222.11	344.18	NaN	307.53	119.09	NaN	795.63	57.758	NaN	164.86	62.107	NaN
191.18	301.62	NaN	219.65	347.44	NaN	309.59	118.99	NaN	798.86	56.126	NaN	161.54	62.098	NaN
191.29	303.87	NaN	215.24	352.26	NaN	312.1	119.16	NaN	802.46	54.032	NaN	158.96	61.866	NaN
191.58	307.11	NaN	211.19	356.08	NaN	314.44	118.99	NaN	805.36	52.348	NaN	155.55	60.491	NaN
192.63	311.43	NaN	207.52	359.73	NaN	316.95	119.01	NaN	808.33	50.552	NaN	152.95	57.546	NaN
193.71	315.48	NaN	204.84	362.55	NaN	318.97	119.12	NaN	810.46	49.191	NaN	150.62	53.111	NaN
194.76	318.92	NaN	202.68	364.73	NaN	321.27	119.48	NaN	813.67	48.752	NaN	149.3	49.673	NaN
195.7	322.38	NaN	200.92	366.65	NaN	323	119.74	NaN	816.25	50.957	NaN	147.76	45.929	NaN
196.62	325.45	NaN	198.92	368.71	NaN	324.32	119.76	NaN	817.68	55.02	NaN	146.63	42.991	NaN
197.82	328.74	NaN	196.9	370.79	NaN	326.26	120.02	NaN	817.8	60.418	NaN	145.24	39.565	NaN
200.71	331.7	NaN	194.95	375.4	NaN	328.87	121.02	NaN	818	66.889	NaN	144.45	36.403	NaN
205.96	334.94	NaN	194.19	378.88	NaN	332.33	121.83	NaN	818.32	72.421	NaN	144.5	32.646	NaN
208.66	335.98	NaN	193.1	384.61	NaN	334.93	121.78	NaN	818.88	78.224	NaN	144.8	29.449	NaN
212.18	336.96	NaN	192.24	389.17	NaN	338.71	120.64	NaN	819.5	83.813	NaN	145.67	25.57	NaN
214.44	337.56	NaN	191.37	393.33	NaN	342.75	117.89	NaN	820.18	87.935	NaN	146.05	25.591	NaN
218.04	338.99	NaN	190.51	397.46	NaN	345.25	115.23	NaN	820.54	91.091	NaN	146.55	24.723	NaN
220.67	339.67	NaN	187.19	403.3	NaN	348.43	111.66	NaN	821.29	96.073	NaN	146.75	25.463	NaN
223.24	340.09	NaN	183.86	405.75	NaN	350.27	109.75	NaN	821.58	99.152	NaN	147.09	24.693	NaN
226.4	340.86	NaN	177.88	409.11	NaN	352.65	107.2	NaN	822.04	102.57	NaN	147.46	23.992	NaN
229.68	341.95	NaN	173.89	411.03	NaN	354.83	105.12	NaN	822.39	106.56	NaN	149.78	20.059	NaN
231.99	342.78	NaN	170.87	412.28	NaN	357.27	102.37	NaN	822.87	110.74	NaN	150.78	20.031	NaN
234.2	343.8	NaN	166.87	414.08	NaN	358.84	101.12	NaN	823.06	113.21	NaN	151.78	20.178	NaN
235.71	344.43	NaN	163.15	415.86	NaN	361.64	99.85	NaN	823.07	115.7	NaN	152.84	19.889	NaN
237.68	345.08	NaN	161.26	416.77	NaN	364.72	100.47	NaN	823.46	118.88	NaN	153.17	20.909	NaN
239.68	345.99	NaN	160.41	416.97	NaN	367.98	102.56	NaN	823.91	121.27	NaN	155.64	21.189	NaN
241.85	347.25	NaN	159.74	416.96	NaN	371.28	105.88	NaN	824.23	124.43	NaN	156.08	22.885	NaN
